,Indicator ID,Total,2010,2011,2012,2013,2014,2015,2016
85,AllocatedShareBasedCompensationExpense,79278,8,1213,3955,5761,6057,6193,3239
86,NetCashProvidedByUsedInFinancingActivities,78885,38,2839,6191,5827,4697,3898,2805
87,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,78552,12,2304,4895,5377,5435,5390,2771
88,DepreciationAndAmortization,77847,9,3027,4870,5021,5117,5152,2753
89,OtherAssets,77409,4,2985,4890,5158,5234,5122,2410
90,FiniteLivedIntangibleAssetsGross,75909,9,1501,4390,5448,5684,5716,2555
91,OtherAccruedLiabilitiesCurrent,75564,12,1936,4496,5265,5480,5481,2518
92,OtherLiabilitiesCurrent,73908,32,3170,4449,4786,4912,4893,2394
93,PrepaidExpenseCurrent,72771,15,2794,4555,4882,4985,4769,2257
94,NetCashProvidedByUsedInInvestingActivities,71529,37,2625,5648,5297,4204,3453,2579
95,PaymentsToAcquirePropertyPlantAndEquipment,70794,34,1988,4590,4495,4571,4481,3439
96,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,70557,13,1577,3837,4939,5179,5233,2741
97,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,69621,0,2,3618,5616,5808,5802,2361
98,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,68697,0,2,3567,5528,5731,5741,2330
99,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,68517,1,1056,4068,5143,5489,5539,1543
100,AccountsPayableAndAccruedLiabilitiesCurrent,67101,6,2415,4013,4596,4714,4556,2067
101,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,66837,0,2,3437,5375,5589,5596,2280
102,UnrecognizedTaxBenefits,66819,9,1748,4223,4924,4954,4855,1560
103,OperatingLeasesFutureMinimumPaymentsDue,66528,2,929,3843,4974,5383,5441,1604
104,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,65895,7,1114,4292,5130,4940,4624,1858
105,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,65679,1,1053,3924,4887,5242,5322,1464
106,CommonStockDividendsPerShareDeclared,64257,28,2660,3798,3994,4190,4393,2356
107,InterestIncomeExpenseNet,63810,1,2242,3827,4201,4408,4395,2196
108,ProfessionalFees,63555,0,2390,4246,4413,4251,3986,1899
109,DeferredTaxAssetsNetNoncurrent,63411,29,3222,4504,4288,3994,3613,1487
110,Cash,62070,1,2201,4072,4483,4231,3884,1818
111,EffectiveIncomeTaxRateContinuingOperations,62001,4,1195,3049,4326,4607,4785,2701
112,DeferredTaxAssetsValuationAllowance,61734,0,786,3473,4894,5156,5121,1148
113,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,61254,0,3,2182,5068,5219,5234,2712
114,OperatingLeasesFutureMinimumPaymentsDueInFourYears,61224,1,1048,3668,4555,4882,4948,1306
115,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,61011,7,1092,4000,4752,4577,4236,1673
116,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,60738,0,2,3072,4854,5090,5129,2099
117,OperatingLeasesFutureMinimumPaymentsDueCurrent,60429,1,1049,3977,4810,4849,4582,875
118,Depreciation,60351,9,1372,3368,4114,4357,4400,2497
119,AccruedIncomeTaxesCurrent,59715,32,2715,3953,3997,3833,3660,1715
120,CostOfRevenue,59289,18,2349,3618,3780,3969,4017,2012
121,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,58944,5,1490,3952,4200,4091,3942,1968
122,IncomeLossFromEquityMethodInvestments,58287,14,2531,3532,3717,3867,3799,1969
123,SalesRevenueGoodsNet,58101,26,2535,3712,3786,3719,3701,1888
124,AvailableForSaleSecurities,56967,1,1664,2725,3675,4525,4309,2090
125,InterestPayableCurrent,55158,5,1711,3263,3826,3868,3912,1801
126,LaborAndRelatedExpense,54831,2,2307,3675,3622,3540,3440,1691
127,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,54507,1,1018,3291,4061,4326,4354,1118
128,IncomeLossFromContinuingOperations,54402,8,2204,3467,3982,3874,3228,1371
129,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,54036,4,1018,3409,4076,4118,3891,1496
130,DeferredTaxAssetsNet,53166,1,1403,3640,4080,3983,3767,848
131,IncreaseDecreaseInAccountsReceivable,53046,23,1485,3507,3405,3384,3302,2576
132,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,52923,3,1156,3186,3649,3867,3810,1970
133,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,52575,0,1008,3443,4000,3841,3643,1590
134,AvailableForSaleSecuritiesAmortizedCost,52137,2,1034,3083,3715,3829,3844,1872
135,OperatingLeasesFutureMinimumPaymentsDueThereafter,51225,1,992,3087,3776,4058,4118,1043
136,LiabilitiesNoncurrent,50271,7,2050,3232,3334,3358,3246,1530
137,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,49233,0,2,3053,4378,4054,3849,1075
138,WeightedAverageNumberDilutedSharesOutstandingAdjustment,48510,7,1125,2728,3527,3571,3442,1770
139,DeferredTaxAssetsGross,47589,0,739,3083,3806,3853,3788,594
140,InventoryFinishedGoods,47475,12,1218,3232,3603,3349,3013,1398
141,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,47373,3,483,2752,3592,3571,3499,1891
142,InterestPaid,46776,7,1059,3098,3094,3029,2960,2345
143,OtherLiabilities,46683,3,1857,3016,3113,3088,3011,1473
144,CostOfGoodsAndServicesSold,46614,22,2228,3112,3115,2960,2760,1341
145,SellingAndMarketingExpense,45651,13,1810,2806,2908,3053,3099,1528
146,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,45627,0,780,2947,3536,3486,3243,1217
147,DeferredTaxAssetsLiabilitiesNet,45363,1,954,2932,3617,3775,3085,757
148,DeferredIncomeTaxExpenseBenefit,45294,23,1581,3031,2960,2839,2730,1934
149,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,44886,0,825,2705,3282,3427,3563,1160
150,DeferredTaxAssetsOperatingLossCarryforwards,43536,0,523,2670,3489,3636,3545,649
151,DueToRelatedPartiesCurrent,43431,0,1522,2665,2990,3005,2914,1381
152,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,43404,0,828,2620,3150,3304,3454,1112
153,IncreaseDecreaseInInventories,43155,26,1409,2838,2761,2713,2636,2002
154,IncreaseDecreaseInAccountsPayable,42252,16,1206,2825,2701,2690,2613,2033
155,IncomeLossFromContinuingOperationsPerBasicShare,41532,10,1964,2569,2845,2858,2481,1117
156,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,40719,0,805,2422,2939,3105,3255,1047
157,IncomeLossFromContinuingOperationsPerDilutedShare,39747,10,1883,2428,2719,2762,2380,1067
158,RestrictedCashAndCashEquivalentsAtCarryingValue,38964,9,1740,2569,2589,2521,2421,1139
159,DeferredRevenueNoncurrent,38877,9,1444,2336,2476,2611,2731,1352
160,ShortTermBorrowings,38532,22,1690,2495,2513,2431,2456,1237
161,InventoryFinishedGoodsNetOfReserves,38322,3,491,1933,2776,2961,3049,1561
162,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,37770,11,988,2443,2445,2462,2397,1844
163,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,37653,14,950,2452,2415,2414,2388,1918
164,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,37596,8,1076,2326,2645,2622,2497,1358
165,LongTermDebtAndCapitalLeaseObligations,37368,16,1500,2244,2448,2497,2529,1222
166,DeferredTaxAssetsOther,37347,1,765,2480,2901,2968,2945,389
167,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,37095,5,1218,2482,2726,2613,2514,807
168,InventoryWorkInProcess,36951,6,953,2528,2843,2612,2310,1065
169,InventoryRawMaterials,36768,7,828,2576,2916,2625,2270,1034
170,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,36726,6,1649,2239,2507,2545,2289,1007
171,InterestAndDividendIncomeOperating,36477,0,1523,2502,2423,2348,2269,1094
172,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,36384,0,776,2166,2602,2763,2903,918
173,RestrictedCashAndCashEquivalents,35820,0,982,2060,2493,2629,2582,1194
174,EquityMethodInvestments,35559,4,1292,2121,2353,2446,2439,1198
175,SalesRevenueServicesNet,35313,12,1535,2181,2260,2322,2290,1171
176,LoansAndLeasesReceivableAllowance,35136,1,1396,2388,2369,2282,2210,1066
177,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,35136,0,776,2351,2729,2704,2600,552
178,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,34887,2,564,1945,2583,2653,2627,1255
179,Deposits,34866,1,1476,2366,2307,2238,2186,1048
180,NoninterestExpense,34635,0,1455,2345,2296,2217,2177,1055
181,IncomeTaxesReceivable,34494,6,1504,2234,2265,2193,2209,1087
182,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,34089,4,754,1999,2518,2478,2450,1160
183,FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,34062,0,0,1607,2588,2879,2974,1306
184,NoninterestIncome,33960,0,1406,2282,2248,2190,2151,1043
185,NotesPayableCurrent,33888,6,1205,2037,2333,2368,2269,1078
186,LoansAndLeasesReceivableNetReportedAmount,33762,1,1371,2277,2234,2189,2139,1043
187,OtherCostAndExpenseOperating,33663,10,1545,2142,2247,2142,2086,1049
188,TaxesPayableCurrent,32913,9,1191,1934,2195,2245,2304,1093
189,InterestIncomeExpenseAfterProvisionForLoanLoss,32859,0,1340,2173,2141,2158,2126,1015
190,EffectOfExchangeRateOnCashAndCashEquivalents,32850,28,1242,2145,2084,1996,1946,1509
191,AllowanceForDoubtfulAccountsReceivable,32796,1,592,1943,2375,2447,2524,1050
192,DeferredTaxLiabilities,32649,0,883,2035,2398,2453,2563,551
193,OccupancyNet,32541,0,1353,2140,2126,2132,2088,1008
194,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,32088,1,476,1670,2281,2521,2548,1199
195,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,32076,1,491,1813,2345,2431,2440,1171
196,ShortTermInvestments,31968,15,1469,2021,2008,2086,2075,982
197,Land,31911,8,1234,2124,2269,2102,2040,860
198,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,31884,2,312,1104,1261,2365,2981,2603
199,OtherNoninterestExpense,31881,0,1374,2176,2091,2039,1988,959
200,ForeignCurrencyTransactionGainLossBeforeTax,31743,4,1176,1932,2126,2082,2126,1135
201,CapitalLeaseObligationsCurrent,31530,3,1125,1958,2129,2195,2144,956
202,CapitalLeaseObligationsNoncurrent,31353,2,1174,1940,2083,2136,2139,977
203,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,31341,4,649,1828,2350,2304,2246,1066
204,CostOfServices,31020,9,1392,1981,2049,2010,1913,986
205,ReceivablesNetCurrent,30969,18,1461,1920,2041,1993,1935,955
206,NetIncomeLossAvailableToCommonStockholdersDiluted,30693,2,747,1670,2148,2230,2303,1131
207,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,30657,0,1566,2968,3087,2191,388,19
208,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,30570,3,669,2106,2411,2258,2058,685
209,IncomeLossFromDiscontinuedOperationsNetOfTax,30174,5,1320,2008,2205,2062,1737,721
210,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,30168,0,650,1809,2168,2328,2380,721
211,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,30078,10,1260,2266,2206,1863,1699,722
212,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,29859,5,1225,1856,1999,1967,1946,955
213,AvailableForSaleSecuritiesDebtSecurities,29742,1,823,1666,1976,2146,2209,1093
214,InterestAndFeeIncomeLoansAndLeases,29718,0,1226,2001,1961,1914,1886,918
215,InventoryWorkInProcessNetOfReserves,29499,2,378,1461,2108,2267,2368,1249
216,DeferredIncomeTaxLiabilities,29481,0,442,1837,2158,2282,2690,418
217,CashAndDueFromBanks,29337,0,1228,1996,1942,1882,1849,882
218,DerivativeFairValueOfDerivativeLiability,29121,3,820,1393,2178,2183,2121,1009
219,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,29118,3,545,1687,2118,2222,2088,1043
220,MachineryAndEquipmentGross,29079,8,962,1971,2166,2005,1847,734
221,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,29055,1,945,1696,1949,2062,2061,971
222,FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,29019,0,2,1019,1979,2403,2639,1631
223,DeferredTaxLiabilitiesPropertyPlantAndEquipment,28851,0,614,1894,2225,2266,2327,291
224,IncreaseDecreaseInOtherOperatingAssets,28659,11,899,1954,1833,1771,1702,1383
225,DebtInstrumentUnamortizedDiscount,28614,2,652,1623,2035,2192,2137,897
226,DerivativeLiabilitiesCurrent,28539,0,1059,1670,1891,2018,1949,926
227,IncomeTaxesPaid,28467,5,811,1943,1919,1827,1719,1265
228,LongTermDebtAndCapitalLeaseObligationsCurrent,28443,10,1121,1714,1848,1866,1950,972
229,RestructuringReserve,28308,4,802,1733,2051,1961,1930,955
230,OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,28293,0,0,826,2428,2464,2445,1268
231,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,28170,1,208,913,1030,2114,2726,2398
232,RestructuringCharges,27978,17,1034,1546,1857,1876,1938,1058
233,DerivativeLiabilities,27951,0,467,988,1998,2347,2366,1151
234,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,27768,3,526,1667,2108,2040,1990,922
235,PaymentsForRepurchaseOfCommonStock,27747,17,965,1628,1680,1690,1748,1521
236,CommonStockDividendsPerShareCashPaid,27687,10,1187,1664,1778,1784,1803,1003
237,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,27594,1,224,911,1033,2052,2620,2357
238,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,27585,2,735,1752,2011,2094,1978,623
239,DeferredTaxLiabilitiesCurrent,27579,8,1188,1819,1946,2034,1928,270
240,InventoryRawMaterialsNetOfReserves,27576,2,309,1351,1959,2157,2232,1182
241,AssetsNoncurrent,27525,1,1171,1782,1866,1859,1681,815
242,DebtInstrumentCarryingAmount,27474,6,551,1409,1837,1914,2153,1288
243,LineOfCreditFacilityMaximumBorrowingCapacity,27384,3,843,2011,2234,1911,1517,609
244,OtherIncome,27330,0,1071,1707,1874,1968,1688,802
245,ConstructionInProgressGross,27315,9,1070,1816,1965,1809,1707,729
246,AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,27120,2,531,1588,2070,2015,1933,901
247,OperatingLossCarryforwards,27048,0,261,1635,2233,2285,2068,534
248,InterestExpenseDeposits,26988,0,1168,1850,1782,1703,1681,812
249,InterestReceivable,26826,1,953,1791,1836,1815,1746,800
250,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,26661,9,1209,1685,1750,1709,1714,811
251,GainsLossesOnExtinguishmentOfDebt,26652,7,1029,1537,1778,1815,1797,921
252,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,26598,3,640,2039,2220,1849,1527,588
253,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,26493,8,1136,1657,1966,1899,1530,635
254,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,26376,3,456,1547,2022,1957,1907,900
255,DerivativeFairValueOfDerivativeAsset,26334,2,784,1209,1955,2000,1926,902
256,AmortizationOfFinancingCosts,26034,0,550,1502,1694,1809,1899,1224
257,InterestPayableCurrentAndNoncurrent,25905,0,731,1525,1828,1841,1854,856
258,AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,25881,2,504,1543,1990,1916,1824,848
259,LettersOfCreditOutstandingAmount,25881,0,482,1626,1959,1883,1852,825
260,ProvisionForLoanAndLeaseLosses,25857,0,1002,1640,1704,1740,1664,869
261,IncreaseDecreaseInAccruedLiabilities,25848,6,721,1771,1671,1637,1608,1202
262,IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,25593,8,1103,1589,1891,1835,1485,620
263,BuildingsAndImprovementsGross,25212,9,932,1792,1880,1641,1570,580
264,ProceedsFromIssuanceOfCommonStock,25200,7,856,1779,1678,1566,1488,1026
265,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,25191,2,415,1558,1894,1905,1897,726
266,ProvisionForDoubtfulAccounts,25122,7,841,1646,1623,1590,1592,1075
267,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,25005,1,330,1509,1864,1894,1817,920
268,AccountsReceivableNet,24870,2,833,1513,1659,1730,1740,813
269,DeferredTaxLiabilitiesOther,24741,0,617,1654,1886,1951,1917,222
270,AssetRetirementObligationsNoncurrent,24522,2,999,1519,1637,1656,1614,747
271,ProceedsFromStockOptionsExercised,24462,13,814,1529,1552,1613,1541,1092
272,FinancingReceivableCollectivelyEvaluatedForImpairment,24453,0,171,1440,1915,1888,1839,898
273,FinancingReceivableIndividuallyEvaluatedForImpairment,24426,0,171,1463,1919,1872,1828,889
274,FinancingReceivableAllowanceForCreditLossesCollectivelyEvaluatedForImpairment,24333,0,163,1430,1898,1884,1834,902
275,InterestBearingDepositsInBanks,24234,0,964,1593,1637,1560,1571,753
276,LongTermDebtFairValue,24168,0,504,1442,1740,1794,1763,813
277,FeesAndCommissionsDepositorAccounts,23700,0,1012,1641,1555,1508,1474,710
278,AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,23682,9,1118,1889,1718,1399,1241,520
279,NotesPayable,23679,0,537,1317,1674,1844,1763,758
280,OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,23655,0,0,746,2056,2024,1997,1062
281,LineOfCredit,23595,0,423,833,963,1950,2599,1097
282,AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,23535,1,376,1367,1822,1780,1709,790
283,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,23433,6,850,1412,1776,1698,1443,626
284,FederalDepositInsuranceCorporationPremiumExpense,23340,0,959,1576,1562,1510,1469,704
285,RepaymentsOfLongTermDebt,23307,8,805,1473,1463,1426,1393,1201
286,InventoryValuationReserves,23271,1,328,1343,1749,1779,1727,830
287,FurnitureAndFixturesGross,23052,2,607,1566,1811,1654,1510,534
288,FinancingReceivableRecordedInvestmentCurrent,23040,0,142,1366,1814,1772,1726,860
289,FinancingReceivableRecordedInvestmentNonaccrualStatus,23037,0,164,1380,1774,1762,1736,863
290,DeferredFinanceCostsNoncurrentNet,22932,1,799,1415,1650,1684,1592,503
291,HeldToMaturitySecurities,22884,0,885,1352,1456,1567,1621,747
292,AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,22830,7,1001,1750,1710,1382,1238,522
293,FinancingReceivableRecordedInvestmentPastDue,22812,0,155,1393,1800,1752,1680,824
294,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,22788,0,354,1469,1763,1846,1881,283
295,AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,22785,1,392,1360,1777,1704,1615,746
296,DebtCurrent,22770,8,1013,1395,1495,1489,1468,722
297,InterestExpenseDebt,22674,3,779,1336,1486,1591,1573,790
298,ImpairedFinancingReceivableRecordedInvestment,22506,0,171,1360,1766,1728,1664,813
299,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,22458,3,561,1746,1854,1558,1267,497
300,ImpairedFinancingReceivableRelatedAllowance,22368,0,166,1335,1743,1712,1674,826
301,OtherNonoperatingIncome,22287,5,1088,1495,1541,1483,1284,533
