,company_id,name_latest,names_previous
242,1017699,"China Kangtai Cactus Bio-Tech, Inc.",
243,1017712,HOT Topic Inc /CA/,
244,101778,Marathon OIL Corp,
245,1017793,SUN Bancorp Inc /NJ/,
246,1017907,First Acceptance Corp /DE/,
247,1017968,Edgewater Technology Inc/De/,
248,1018003,Ingram Micro Inc,
249,1018005,Coldwater Creek Inc,
250,1018164,Willis Lease Finance Corp,
251,101821,Canal Capital Corp,
252,1018215,Wells Real Estate Fund X L P,
253,1018216,Wells Real Estate Fund XI L P,
254,1018254,United Dominion Realty L P,
255,1018281,Integral Technologies Inc,
256,101829,United Technologies Corp /DE/,
257,101830,Sprint Corp,Sprint Nextel Corp
258,1018332,"L-1 Identity Solutions, Inc.",
259,1018336,Information Architects Corp,
260,1018399,Enterprise Bancorp Inc /MA/,
261,1018724,Amazon COM Inc,
262,1018840,Abercrombie & Fitch CO /DE/,
263,1018946,Steiner Leisure LTD,
264,1018963,Allegheny Technologies Inc,
265,1018979,Amerisafe Inc,
266,1019034,BIO KEY International Inc,
267,1019216,"Newport Digital Technologies, Inc.",
268,1019272,Empire Resources Inc /NEW/,
269,1019361,Rofin Sinar Technologies Inc,
270,1019542,Atel Capital Equipment Fund VII LP,
271,1019650,Centrue Financial Corp,
272,1019671,Seachange International Inc,
273,1019695,Arqule Inc,
274,1019737,Navigant Consulting Inc,
275,1019787,Puradyn Filter Technologies Inc,
276,101984,Universal Electronics Inc,
277,1019849,"Penske Automotive Group, Inc.",
278,1020017,INX Inc,
279,1020214,Cerus Corp,
280,1020302,"Internet Infinity, Inc.",
281,1020347,Communitycorp,
282,102037,Universal Corp /VA/,
283,1020416,"Monster Worldwide, Inc.",Monster Worldwide Inc
284,1020448,Imperial Petroleum Recovery Corp,
285,1020475,"Grandparents.Com, Inc.","Norwestech, Inc.Pacific Biomarkers, Inc."
286,1020477,"Rotate Black, Inc.",Rotate Black Inc
287,1020569,Iron Mountain Inc,
288,1020646,"ERF Wireless, Inc.",
289,1020710,DXP Enterprises Inc,
290,1020859,United Natural Foods Inc,
291,102109,Universal Security Instruments Inc,
292,1021096,"M2 Ngage Group, Inc.",Roomlinx Inc
293,1021113,"Guitar Center, Inc.",
294,1021162,Triumph Group Inc,
295,1021270,Famous Daves OF America Inc,
296,1021282,"Clean Slate, Inc.",
297,1021422,"Eastern Light Capital, Inc.",
298,1021435,Hopto Inc.,Graphon Corp/De
299,1021561,NU Skin Enterprises Inc,
300,1021604,ON Track Innovations LTD,
301,1021635,OGE Energy Corp.,
302,1021860,National Oilwell Varco Inc,
303,1021917,"JV Group, Inc.","Aspi, Inc."
304,102198,Calmare Therapeutics Inc,Competitive Technologies Inc
305,1022079,Quest Diagnostics Inc,
306,1022097,"Turbodyne Technologies, Inc",
307,102212,Univest Corp OF Pennsylvania,
308,1022225,Oplink Communications Inc,
309,1022321,Genesis Energy LP,
310,1022344,Simon Property Group L P /DE/,
311,1022368,"Schiff Nutrition International, Inc.",
312,1022408,Eplus Inc,
313,1022469,Deltic Timber Corp,
314,1022505,Cipherloc Corp,National Scientific Corp/Az
315,1022646,Ultra Petroleum Corp,
316,1022652,Novatel Wireless Inc,
317,1022671,Steel Dynamics Inc,
318,1022701,Neomedia Technologies Inc,
319,1022705,Tesco Corp,
320,1022759,Cardinal Bankshares Corp,
321,1022899,"Protagenic Therapeutics, Inc.\New","Atrinsic, Inc."
322,1023024,ANI Pharmaceuticals Inc,Biosante Pharmaceuticals Inc
323,1023128,Lithia Motors Inc,
324,1023131,Covance Inc,
325,1023198,"Stemgen, Inc.",Amasys Corp
326,1023291,Energy Future Holdings Corp /TX/,
327,1023298,Alpha-En Corp,
328,1023313,"Forrester Research, Inc.",Forrester Research Inc
329,1023362,Powerwave Technologies Inc,
330,1023364,Autobytel Inc,
331,1023453,AIS Futures Fund IV LP,
332,1023458,AEI Income & Growth Fund Xxii LTD Partnership,
333,1023459,Simulations Plus Inc,
334,1023731,8X8 Inc /DE/,
335,1023734,"BPZ Resources, Inc.",
336,102379,URS Corp /NEW/,
337,1023844,National Holdings Corp,
338,1023860,Stewardship Financial Corp,
339,1023994,"SG Blocks, Inc.",Cdsi Holdings Inc
340,1024022,Media Sciences International Inc,
341,1024048,"Panacea Global, Inc.",Moneylogix Group Inc.
342,1024075,Power Efficiency Corp,
343,1024126,"Pernix Therapeutics Holdings, Inc.",
344,1024305,Coty Inc.,
345,1024452,SMF Energy Corp,
346,1024478,Rockwell Automation Inc,
347,1024520,World Heart Corp,
348,1024626,"Cannabis Science, Inc.",
349,1024628,ZAP,
350,1024657,West Corp,
351,1024725,Tenneco Inc,
352,1024729,Amscan Holdings Inc,
353,1024732,Igate Corp,
354,1024795,SUN Hydraulics Corp,
355,1024920,Fuelstream Inc,
356,1025315,24holdings Inc,
357,1025362,Golden Queen Mining CO LTD,
358,1025378,W. P. Carey Inc.,Carey W P & CO LLCW P Carey & CO LLC
359,10254,Earthstone Energy Inc,
360,1025536,Taylor Capital Group Inc,
361,1025771,Chase Packaging Corp,
362,1025835,Enterprise Financial Services Corp,
363,1025877,DCB Financial Corp,
364,102588,Sonomawest Holdings Inc,
365,1025953,"Novation Companies, Inc.",Novastar Financial Inc
366,1025996,Kilroy Realty Corp,
367,1026214,Federal Home Loan Mortgage Corp,
368,1026650,Eresearchtechnology Inc /DE/,
369,1026655,Core Molding Technologies Inc,
370,1026743,"Euramax Holdings, Inc.",
371,1027099,RJO Global Trust,
372,1027183,First South Bancorp Inc /VA/,
373,1027207,Epiq Systems Inc,
374,1027235,Asia Travel Corp,Piranha Ventures IncRealgold International Inc
375,102729,Valmont Industries Inc,
376,102741,Valspar Corp,
377,1027484,"Carrier Alliance Holdings, Inc.",Tilden Associates Inc
378,102752,VSE Corp,
379,1027838,Tactile Systems Technology Inc,
380,1027884,Chicago Bridge & Iron CO N V,
381,1028087,American Dental Partners Inc,
382,1028153,"Axion Power International, Inc.",
383,1028215,KMG Chemicals Inc,
384,1028394,Voyager Entertainment International Inc,
385,1028536,Hyperview Ltd.,
386,1028734,Cobiz Financial Inc,
387,1028918,Pacific Premier Bancorp Inc,
388,1028954,Sussex Bancorp,
389,1028985,"Spectrum Brands, Inc.",
390,1029023,Syntroleum Corp,
391,1029125,"SUN Biopharma, Inc.","Cimarron Medical, Inc.Cimarron Software Inc"
392,1029142,Dynavax Technologies Corp,
393,1029199,Euronet Worldwide Inc,
394,1029299,"Deltek, Inc",
395,1029356,"Regatta Capital Partners, Inc.",
396,1029454,Mobile Area Networks Inc,
397,1029506,Ralcorp Holdings Inc /MO,
398,1029581,Modsys International LTD,Bluephoenix Solutions LTD
399,1029630,GS Financial Corp,
400,1029730,Ladenburg Thalmann Financial Services Inc,
401,1029744,Sonic Foundry Inc,
402,1029800,Urstadt Biddle Properties Inc,
403,1029802,China Fruits Corp,China Fruits Corportion
404,1029831,Hillman Companies Inc,
405,1030058,Worldgate Communications Inc,
406,1030192,NEW Jersey Mining CO,
407,1030206,Vascular Solutions Inc,
408,1030469,OFG Bancorp,Oriental Financial Group Inc
409,1030471,Utstarcom Inc,
410,1030484,Renaissance Learning Inc,
411,1030749,Gulfmark Offshore Inc,
412,1030896,Bluefly Inc,
413,1030916,Premier Holding Corp.,
414,103096,TRC Companies Inc /DE/,
415,1031028,Globecomm Systems Inc,
416,1031029,"Startek, Inc.",Startek Inc
417,1031093,"Silver Bull Resources, Inc.",Metalline Mining CO
418,1031203,Group 1 Automotive Inc,
419,1031223,PHL Variable Insurance CO /CT/,
420,1031233,Pinnacle Bankshares Corp,
421,1031235,"Global Self Storage, Inc.",
422,1031296,Firstenergy Corp,
423,1031316,Franklin Street Properties Corp /MA/,
424,103145,Veeco Instruments Inc,
425,1031623,Gulf Island Fabrication Inc,
426,1031896,American Soil Technologies Inc,
427,1031927,"Echo Therapeutics, Inc.",
428,1032033,SLM Corp,
429,1032067,Meade Instruments Corp,
430,1032208,Sempra Energy,
431,1032220,Maximus Inc,
432,1032761,Keynote Systems Inc,
433,1032863,Force Protection Inc,
434,10329,Bassett Furniture Industries Inc,
435,1032975,Logitech International SA,
436,1033012,Flagstar Bancorp Inc,
437,1033032,Silverleaf Resorts Inc,
438,1033128,First Industrial LP,
439,103379,V F Corp,
440,1033905,Luminex Corp,
441,1034054,SBA Communications Corp,
442,1034563,Icahn Enterprises Holdings L.P.,
443,1034592,Omnicomm Systems Inc,
444,1034594,BAY Banks OF Virginia Inc,
445,1034669,Fisher Communications Inc,
446,1034670,Autoliv Inc,
447,1034755,Brigham Exploration CO,
448,1034760,Widepoint Corp,
449,1034842,Rigel Pharmaceuticals Inc,
450,1035002,Valero Energy Corp/Tx,
451,1035092,Shore Bancshares Inc,
452,1035201,California Water Service Group,
453,1035216,South Jersey GAS CO,South Jersey GAS Co/New
454,1035267,Intuitive Surgical Inc,
455,1035354,"Sevion Therapeutics, Inc.",Senesco Technologies Inc
456,1035422,"CTT Pharmaceutical Holdings, Inc.",Industrial Minerals IncMindesta Inc.
457,1035443,Alexandria Real Estate Equities Inc,
458,1035675,Nstar/Ma,
459,1035688,Select Medical Corp,
460,1035748,Callidus Software Inc,
461,103595,Village Super Market Inc,
462,1035976,First National Community Bancorp Inc,
463,1035983,Comfort Systems USA Inc,
464,1035991,First Robinson Financial Corp,
465,1036030,Wayne Savings Bancshares Inc /DE/,
466,1036044,"Identiv, Inc.","Identive Group, Inc."
467,1036070,Stellarone Corp,
468,1036188,QAD Inc,
469,1036262,Intest Corp,
470,1036292,Signature Eyewear Inc,
471,1036478,Genie Gateway,WWA Group Inc
472,1036500,WNC Housing TAX Credit Fund VI LP Series 5,
473,103682,Virginia Electric & Power CO,
474,1036848,Aerocentury Corp,
475,1036960,Fairchild Semiconductor International Inc,
476,1036968,"Diadexus, Inc.",
477,1037016,NII Holdings Inc,
478,1037038,Ralph Lauren Corp,Polo Ralph Lauren Corp
479,1037049,Aurora Gold Corp,
480,1037115,Orbit FR Inc,
481,1037131,Players Network,
482,1037156,WNC Housing TAX Credit Fund VI LP Series 6,
483,1037189,Westport Futures Fund L.P.,Westport JWH Futures Fund LP
484,103730,Vishay Intertechnology Inc,
485,1037390,"Griffin Industrial Realty, Inc.",Griffin Land & Nurseries Inc
486,1037461,BJS Wholesale Club Inc,
487,1037540,Boston Properties Inc,
488,1037646,Mettler Toledo International Inc/,
489,1037649,Interleukin Genetics Inc,
490,1037676,Arch Coal Inc,
491,1037760,Cepheid,
492,1037868,Ametek Inc/,
493,1037949,Qwest Communications International Inc,
494,1037976,Jones Lang Lasalle Inc,
495,1038074,Silicon Laboratories Inc,
496,1038133,Heska Corp,
497,1038205,Bank OF THE Ozarks Inc,
498,1038222,"Reis, Inc.",
499,1038277,International Isotopes Inc,
500,1038280,Mac-Gray Corp,
501,1038286,Golden State Petroleum Transport Corp,
502,1038357,Pioneer Natural Resources CO,
503,1038363,Metals USA Inc,
504,1038509,Pruco Life Insurance OF NEW Jersey,
505,103872,"Volt Information Sciences, Inc.",
506,1038773,Smartfinancial Inc.,Cornerstone Bancshares Inc
507,103884,Alexanders J Corp,
508,1039065,OSI Systems Inc,
509,1039101,L 3 Communications Corp,
510,1039151,Kendle International Inc,
511,1039184,Trailer Bridge Inc,
512,1039280,Netsol Technologies Inc,
513,1039399,Formfactor Inc,
514,1039466,Xsunx Inc,
515,1039684,Oneok Inc /NEW/,
516,1039757,Nxchain Inc.,"Agrivest Americas, Inc.Robocom Systems International Inc"
517,1039828,American Equity Investment Life Holding CO,
518,1039889,P F Changs China Bistro Inc,
519,1040130,Petmed Express Inc,
520,1040161,"Pixelworks, Inc",
521,1040270,United Refining CO /PA/,
522,1040416,Inspire Pharmaceuticals Inc,
523,1040426,Syntel Inc,
524,1040470,Aehr Test Systems,
525,1040482,American Petro-Hunter Inc,
526,1040570,"Geoeye, Inc.",
527,1040593,Carrizo OIL & GAS Inc,
528,1040719,Walter Investment Management Corp,
529,1040721,"Wincash Apolo Gold & Energy, Inc.",Apolo Gold & Energy Inc.
530,1040765,Vornado Realty LP,
531,1040792,Helios & Matheson Analytics Inc.,Helios & Matheson Information Technology Inc.
532,1040799,Four Oaks Fincorp Inc,
533,1040829,"Ryman Hospitality Properties, Inc.",Gaylord Entertainment CO /DE
534,1040850,"Agritek Holdings, Inc.","Cannabis Medical Solutions, Inc.Mediswipe Inc."
535,1040896,"Intellicheck Mobilisa, Inc.",
536,1040971,SL Green Realty Corp,
537,1041009,Revolutions Medical Corp,
538,1041024,"Rockwell Medical, Inc.",Rockwell Medical Technologies Inc
539,1041061,YUM Brands Inc,
540,1041177,Sutor Technology Group LTD,
541,1041368,Riverview Bancorp Inc,
542,1041379,"Popeyes Louisiana Kitchen, Inc.",AFC Enterprises Inc
543,1041429,Annapolis Bancorp Inc,
544,1041514,NET 1 Ueps Technologies Inc,
545,1041550,Hopfed Bancorp Inc,
546,1041577,Atmi Inc,
547,1041588,Access Power Inc,
548,1041609,Mirenco Inc,
549,1041657,"Radio One, Inc.",
550,104169,WAL Mart Stores Inc,
551,1041803,Pricesmart Inc,
552,1041859,"Childrens Place, Inc.",Childrens Place Retail Stores Inc
553,1041954,ITC Deltacom Inc,
554,1042046,American Financial Group Inc,
555,104207,Walgreen CO,
556,1042074,"Cymabay Therapeutics, Inc.",
557,1042173,Scientific Learning Corp,
558,1042187,CTI Industries Corp,
559,1042418,"Hedgepath Pharmaceuticals, Inc.",Commonwealth Biotechnologies Inc
560,1042463,Linkwell Corp,
561,1042610,TRB Systems International Inc,
562,1042642,Dish DBS Corp,
563,1042728,CPC OF America Inc,
564,1042729,Mercantile Bank Corp,
565,1042773,Centerpoint Energy Resources Corp,
566,1042776,"Piedmont Office Realty Trust, Inc.",
567,1042783,DOT Hill Systems Corp,
568,1042784,Golden Phoenix Minerals Inc,
569,1042809,"A.C. Moore Arts & Crafts, Inc.",
570,1042810,"Equity One, Inc.",
571,1042821,Pervasive Software Inc,
572,1042825,Power ONE Inc,
573,1042893,Dril-Quip Inc,
574,1043000,Capital Senior Living Corp,
575,1043121,Boston Properties LTD Partnership,
576,1043156,Star Buffet Inc,
577,1043186,American Electric Technologies Inc,
578,1043219,Annaly Capital Management Inc,
579,1043222,Chinawe COM Inc,
580,1043277,C H Robinson Worldwide Inc,
581,1043325,Centerline Holding CO,
582,1043337,Stoneridge Inc,
583,1043382,Solutia Inc,
584,1043509,Sonic Automotive Inc,
585,1043533,Abovenet Inc,
586,1043565,Potomac Futures Fund LP,
587,1043604,Juniper Networks Inc,
588,1043825,"Iron Eagle Group, Inc.",
589,1043873,Novadel Pharma Inc,
590,1043894,Enviro Voraxial Technology Inc,
591,1043951,Campbell Fund Trust,
592,1043961,Transgenomic Inc,
593,1044082,"Georgia-Carolina Bancshares, Inc",
594,1044378,Biocept Inc,
595,1044435,Active Power Inc,
596,1044566,CNA Surety Corp,
597,1044577,"China Precision Steel, Inc.",
598,1044590,"Intermec, Inc.",
599,1044650,Calais Resources Inc,
600,1044777,Vasco Data Security International Inc,
601,1045014,Gametech International Inc,
602,1045150,"Official Payments Holdings, Inc.",Tier Technologies Inc
603,1045309,W R Grace & CO,
604,1045390,"Colombia Energy Resources, Inc.","Colombia Clean Power & Fuels, Inc"
605,1045425,Rait Financial Trust,
606,1045450,EPR Properties,Entertainment Properties Trust
607,1045539,Kiantone Pipeline CO,
608,1045540,Kwik FIL Inc,
609,1045541,Kwik Fill Corp,
610,1045542,United JET Center Inc,
611,1045543,Bell OIL Corp,
612,1045544,PPC Inc,
613,1045545,Super Test Petroleum Inc,
614,1045546,Vulcan Asphalt Refining Corp,
615,1045547,Independent Gasoline & OIL CO OF Rochester,
616,10456,Baxter International Inc,
617,1045609,"Prologis, Inc.",AMB Property Corp
618,1045610,"Prologis, L.P.",AMB Property LP
619,1045742,Live Ventures Inc,Livedeal Inc
620,1045769,Hypercom Corp,
621,1045810,Nvidia Corp,
622,1045829,Vanguard Health Systems Inc,
623,1045929,First Colombia Gold Corp.,
624,1045942,"Track Group, Inc.","Securealert, Inc."
625,1046025,Heritage Financial Corp /WA/,
626,1046050,Timberland Bancorp Inc,
627,1046057,Transcoastal Corp,Claimsnet COM Inc
628,1046102,Ritchie Bros Auctioneers Inc,
629,1046131,Midas Inc,
630,1046188,Pathfinder Bancorp Inc,
631,1046203,Guaranty Federal Bancshares Inc,
632,1046257,Ingredion Inc,Corn Products International Inc
633,1046311,Choice Hotels International Inc /DE,
634,1046327,Realnetworks Inc,
635,1046568,Career Education Corp,
636,1046672,PAN American Goldfields LTD,
637,1046788,Harris Preferred Capital Corp,
638,1046859,"Remy International, Inc.",
639,1046880,Central European Distribution Corp,
640,1046995,Emagin Corp,
641,1047122,Raytheon CO/,
642,1047127,"Amkor Technology, Inc.",Amkor Technology Inc
643,1047166,United Rentals North America Inc,
644,1047170,Eastern Virginia Bankshares Inc,
645,1047335,National Healthcare Corp,
646,1047340,Fresh DEL Monte Produce Inc,
647,1047446,Community First Bancorp,
648,104777,"Alteva, Inc.",Warwick Valley Telephone CO
649,1047857,"Yuhe International, Inc.",
650,1047862,Consolidated Edison Inc,
651,1047865,Webster Preferred Capital Corp,
652,1047881,"Talon International, Inc.",
653,1047884,Anworth Mortgage Asset Corp,
654,1047919,Ambient Corp /NY,
655,1048055,"Physical Property Holdings, Inc.",
656,104819,Washington GAS Light CO,
657,1048268,"IES Holdings, Inc.","Integrated Electrical Services IncIntegrated Electrical Services, Inc."
658,1048286,Marriott International Inc /MD/,
659,1048477,Biomarin Pharmaceutical Inc,
660,1048501,"Xformity Technologies, Inc.",
661,1048620,Granite City Food & Brewery Ltd.,Granite City Food & Brewery LTD
662,1048685,Metalico Inc,
663,1048695,F5 Networks Inc,
